№,Наименование организации,,ИНН,Юридический адрес,Ф.И.О. руководителя,Контакты,Основной вид деятельности (ОКЕД),код ОКЕД,№ лицензии,Дата выдачи лицензии,срок действии лицензии,Вид лицензируемой деятельности,№ лицензионного соглашения,Дата лицензионного соглашения,Наименование лицензируемых работ,Причина переоформления или отзыва  лицензии,Форма собственности,Область,Район,Населенный пункт
984,ELIT BINO LOYIHA SERVIS,МЧЖ ,207144830,"Тошкент шаҳри, Шайҳонтохур тумани, Самарқанд дарвоза кўчаси, 1в-уй, 29-хонадон",Келдиёров Жонибек Болтаевич ,+99890 185-82-01,,,,,,,,,,,,,Шайҳонтохур,Тошкент шахри
985,OQ SUV-ZARAFSHON IRRIGATSIYA,МЧЖ ,304353340,"Қашқадарё вилояти, Қарши шаҳри, Марғилон кўчаси, 1/2",Махмудов Хайрулло Жумаевич,,,,,,,,,,,,,Қашқадарё ,,Қарши шаҳри
986,BN INVESTMENT GROUP,МЧЖ ,207077376,"Тошкент вилояти, Қибрай тумани, Саллар ШФЙ кўчаси",Шигаев С.Э.,,,,,,,,,,,,,Тошкент ,Қибрай,
987,STAR-ARCH,МЧЖ ,303434138,"Бухоро вилояти, Бухоро шаҳри, Мустақиллик кўчаси, 16-уй",Ражабов Фаррух Сйитович ,+99891 310-80-88,,,,,,,,,,,,Бухоро ,,Бухоро шаҳри
988,G’IJDUVON TEXSTROYPROGRESS PLYUS,МЧЖ ,300630649,"Бухоро вилояти, Ғиждувон тумани, Навбахор кўчаси, 132",Бафоев Зокир Сайидович ,+99891 400-00-04,,,,,,,,,,,,Бухоро ,Ғиждувон,
989,JIZZAH SERVIS MELIORATOR,МЧЖ ,303995438,"Жиззах вилояти, Жиззах шаҳри, Бахор кўчаси, 42-уй ",Уталов Акмал Хабибуллаевич ,+99895 280-23-27,,,,,,,,,,,,Жиззах ,,Жиззах шаҳри
990,ARCHDECOR PROJECT,МЧЖ ,304036917,"Тошкент шаҳри, Навоий кўчаси, 30-уй",Ильхамов Комилжон Рахимджанович ,+99890 986-29-33,,,,,,,,,,,,,,Тошкент шаҳри
991,SS MEMORS ARCHITECTURE,МЧЖ ,303883688,"Тошкент шаҳри, Навоий кўчаси, 7-уй",Садиков Сардорбек Атабекович ,+99897 454-24-42 +99890 325-57-79,,,,,,,,,,,,,,Тошкент шаҳри
992,STROITELSTVO SEYSMOSTOYKIX SOORUJENIY,МЧЖ ,303833495,"100100, Тошкент шаҳри, Яккасарой тумани, Муқумий 1-берк кўчаси, 7-уй ",Ходжаев Ойбек Бахтиёрович ,+99893 537-84-00 +99890 174-18-86 +99890 354-44-00,,,,,,,,,,,,,Яккасарой,Тошкент шаҳри
993,ШИМОЛГАЗТАЪМИНОТ,УК ,206779659,"230103, Қорақалпоғистон Республикаси Нукус шаҳри, Бердақ гузари, 179",Кудайназаров А. ,0361 224-02-43 224-00-59 224-04-01 ,,,,,,,,,,,,Қорақалпоғистон Республикаси ,,Нукус шаҳри
994,RO’YOB QURILISH,МЧЖ ,301200382,"Тошкент шаҳри, Миробод тумани, Янгизамон 2-берк кўчаси, 26-уй ",Кодиров Шерзод Абдурасулович ,+99895 195-76-34 +99899 828-77-55 Seg-142@mail.ru,,,,,,,,,,,,,Миробод,Тошкент шаҳри
995,ALEKS PROJECT,МЧЖ ,,,А. Кожарина,,,,,,,,,,,,,,,
996,BUXORO NEFTEGAZ MONTAJ,МЧЖ ,303383391,"Бухоро вилояти, Бухоро шаҳри, Халқлар дўстлиги кўчаси, 9-уй",Бокиев Бехруз Шухратович ,+99898 274-90-40,,,,,,,,,,,,Бухоро ,,Бухоро шаҳри
997,MEMOR LYUKS INVEST,МЧЖ ,304301674,"Тошкент вилояти, Юқори-Чирчиқ тумани, Арганчи ҚФЙ",Маликов Абдумажит Абдугабитович ,+99890 127-02-77,,,,,,,,,,,,Тошкент ,,
998,GOLDARX DESIGN,МЧЖ ,304399917,"Самарқанд вилояти, Самарқанд шаҳри, М.Улуғбке кўчаси, 76А",Мамазияев Алимардон Абдуманнонович ,+99893 231-85-37 ,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳри
999,KONSALTING STROY TORG PROEKT,МЧЖ ,,,К. Усканбаев,,,,,,,,,,,,,,,
1000,MODUL GROUP PLUS,МЧЖ ,304419082,"Тошкент шаҳри, Яккасарой тумани, Бобур кўчаси, 14",Абдурахманов Фахриддин Сайдирахмонович ,+99890 372-61-41 modulgroupplus@gmail.com,,,,,,,,,,,,,Яккасарой,Тошкент шаҳри
1001,GRAND ELITE SERVICE,МЧЖ ,303660926,"Тошкент шаҳри, Себзор дахаси, Марказ 17/18, 4-уй, 63-хонадон",Саидахмедов С.С. ,+99891 192-44-54,,,,,,,,,,,,,,Тошкент шаҳри
1002,NISHON AVTOGAZ SOZLASH,МЧЖ ,303389043,"Қашқадарё вилояти, Нишон тумани, Нуристон Қўрғони",Диёров Мухиддин Холмаматович Абдугаффаров Сулаймон ,"99891 221-79-50,99898 775-16-19 ",,,,,,,,,,,,Қашқадарё ,Нишон,
1003,SAMO QURILISH KONSTRUKSIYA DIZAYN,МЧЖ ,303784390,"Қашқадарё вилояти, Қарши шаҳри, Гулистон махалла, Қатор 24",Исломов Зафар Гиёсиддинович Миржахон ака Сайфиддин ака ,"99893935-39-23,99898776-39-37,+99891 638-15-17 ",,,,,,,,,,,,Қашқадарё ,,Қарши шаҳри
1004,ARCHITECTURE DESIGN AND URBAN PLANNING,МЧЖ ,304243328,"100138, Тошкент шаҳри, Учтепа тумани, 15-мавзе, 14-уй",Махмудова Шахида Абдусаломовна ,+99890 987-47-22 320-50-41,,,,,,,,,,,,,Учтепа,Тошкент шаҳри
1005,MONOLIT LOYIHA QURILISH,МЧЖ ,303314642,"220100, Хоразм вилояти, Урганч шаҳри, махтумқули кўчаси, 131-уй",Султанмуратов Ўткир Октябревич ,,,,,,,,,,,,,Хоразм ,,Урганч шаҳри
1006,AGES COMMUNICATIONS,ХК,300870611,"Тошкент шаҳри, Боғсарой кўчаси, 7",Кривошекова Галина Алексеевич ,256-41-88 255-41-89 ,,,,,,,,,,,,,,Тошкент шаҳри
1007,OLTIN NISBAT,МЧЖ ,304212064,"Хоразм вилояти, Боғот тумани, Ўзбекистон кўчаси, 13-уй",Қурбонов Фарход Ўринович ,+99891 999-27-13 0362 315-13-26,,,,,,,,,,,,Хоразм,Боғот ,
1008,ERD PROJECT,МЧЖ ,304401934,"Тошкент шаҳри, Шота Руставелли кўчаси, 100-уй",Давлатов Собир Алиниезович ,,,,,,,,,,,,,,,Тошкент шаҳри
1009,IDEAL PROGRESS,МЧЖ ,304272276,"Андижон вилояти, Андижон шаҳри, 1-микрорайон, 6-б уй, 35-хонадон   ",Мадаминов Бахтиёр ,+99895 200-24-38,,,,,,,,,,,,Андижон ,,Андижон шаҳри
1010,ADVA,МЧЖ ,203360280,"Тошкент шаҳри, Авиясозлар кўчаси, 1 тупик, 22-уй",Любушкин Алексей ЮревичАлександр Анатолиевич Лугачов ," +99890 977-86-81, 296-08-57 ",,,,,,,,,,,,,,Тошкент шаҳри
1011,VODIY IJODKOR MELIORATOR,МЧЖ ,302366129,"Фарғона филояти, Фарғона шаҳри, А.Навоий кўчаси, 52/21",Мамажонов Мавлон Камилович ,+99890 303-10-46 +99890 274-85-83,,,,,,,,,,,,Фарғона ,,Фарғона шаҳри
1012,VODIY IJODKOR MELIORATOR,,302366129,"Фарғона вилояти, Фарғона шаҳри, А.Навоий кўчаси, 52/21",Мамажонов Мавлон Камилович, +99890 303-10-46 +99890 274-85-83,,,,,,,,,,,,Фаргона,,Фарғона шаҳри
1013,“POWER BIULD CONSTRUCTION, МЧЖ,304546013,"Тошкент шаҳри, Миробод тумани, Нукус 1-то кўчаси, 12-уй",Солиев Азамат Идиевич,215-55-68 +99897 302-68-81,,,,,,,,,,,,,Миробод,Тошкент шаҳар
1014,Бердак атындагы Каракалпак Мемлекетлик Университети,таълим,202609182,"230112, Нукус шаҳри, Академик Ч.Абдиров кўчаси, 1-уй",М.А. Жуманов,0361 223-60-47,,,,,,,,,,,,Қорақалпоғистон Республикаси,, Нукус шаҳри
1015,SURXON DIZAYN PROEKT SERVIS, МЧЖ,303268731,"Сурхандарё вилояти, Термиз тумани, Ат-Термизий махалласи",Каримов Насриддин Рахимкулович,,,,,,,,,,,,,Сурхандарё,,Термиз шаҳри
1016,BRIGHT GRAPHICS, МЧЖ,303727397,"Тошкент шаҳри, Яшнаобод тумани, Тол ариқ кўчаси, 2-уй",Салимов Дилшод Давронович ,+99890 301-25-25 +99897 210-25-25,,,,,,,,,,,,,Яшнаобод,Тошкент шаҳри
1017,LIDER PROF PROEKT, МЧЖ,304512474,"Тошкент шаҳри, Юнусобод тумани, Ниёзбек йўли кўчаси, 2-уй",Эшонқулова Шахноза Одилжоновна ,+99899 814-09-99,,,,,,,,,,,,,Юнусобод,Тошкент шаҳри
1018,AZIMJON ISHONCHI, МЧЖ,303879311,"Андижон вилояти, Андижон тумани, Оқёр ҚФЙ, Катта Найман махалласи ","Сувонова Шахло Хамдамовна, Нозимжон ака "," +99893 253-72-53, +99897 991-04-40 ",,,,,,,,,,,,Андижон,Андижон,Оқёр ҚФЙ
1019,GRAND MOBILE PROJECT, МЧЖ,304546979,"Тошкент шаҳри, Сирғали-4, 17-уй, 119-хонадон ",Убайдуллаев Фарход Фатхуллаевич ,+99899 822-12-22 0371 257-26-36,,,,,,,,,,,,,,Тошкент шаҳри
1020,NEW DESIGN STYLE,ХК,304479302,", Бўстон МФЙ, А.Қодирий кўчаси, 43-уй",Гаппаров Хусан ,+99893 556-04-34,,,,,,,,,,,,Қашқадарё,,Китоб шаҳри
1021,ANCIENT VALLEY, МЧЖ,303067634,"Урганч тумани, Ғалаба қишлоғи ",Хасанова М.,,,,,,,,,,,,,Хоразм,Урганч,Ғалаба қишлоғи 
1022,“UNIVERSAL EVRO MONTAJ, МЧЖ,304396873,"Нукус шаҳри, Бердах гузари, 179",Аллаберганов Б. ,0361 224-16-89,,,,,,,,,,,,Қорақалпоғистон Республикаси,, Нукус шаҳри
1023,CLEVER DESIGN, МЧЖ,304525355,"Тошкент шаҳри, Яккасарой тумани, Бобур кўчаси, 73-уй",Махкамов Патихжан Нигманович ,+99897 446-00-44,,,,,,,,,,,,,Яккасарой,Тошкент шаҳри
1024,O’ZBEKTELEKOM,АК,203366731,"Тошкент шаҳри, А.Навоий кўчаси, 28а-уй",Салибаев Х.,236-01-88,,,,,,,,,,,,,,Тошкент шаҳри
1025,MAHKAM BUILDING, МЧЖ,304592883,"Тошкент шаҳри, Юнусобод тумани, Мойқўрғон кўчаси, 53-уй",Махкамов Комолжон Хаджимуратович ,851-50-53 854-19-09,,,,,,,,,,,,,Юнусобод,Тошкент шаҳри
1026,KESH GRAND GROUP,МЧЖ,303892985,"Қашқадарё вилояти, Шахрисабз тумани, Сайилгоҳ кўчаси, 1-уй",Авазов Шохрух Нуриддин ўғли ,0375 522-08-78 +99893 247-77-07,,,,,,,,,,,,Қашқадарё,Шахрисабз,
1027,DIAMOND NETWORK,МЧЖ,304508390,"Бухоро вилояти, Бухоро тумани, Истиқбол ҚФЙ, Хитоён",Хамдамов Сухроб Субхон ўғли ,+99893 681-31-63,,,,,,,,,,,,Бухоро,Бухоро,Истиқбол ҚФЙ
1028,INTEGRA PREMIER,МЧЖ,303789835,"Тошкент шаҳри, Миробод тумани, Ойбек кўчаси, 38-уй",Ханходжаев Фаррух Завкиевич ,202-21-02 +99895 198-21-02 info@ipremier.uz,,,,,,,,,,,,,Миробод,Тошкент шаҳри
1029,ISHONCH,МЧЖ,201147973,"Бухоро вилояти, Ғиждувон тумани, Буктарой ҚФЙ",Пулотов Малик Худоёрович ,+99891 241-33-03 +99890 511-61-66,,,,,,,,,,,,Бухоро,Ғиждувон,Буктарой ҚФЙ
1030,GRAND PROJECT BUSINESS,МЧЖ,304169538,"Тошкент шаҳри, Юнусобод тумани, А.Темур шох кўчаси, 100",Ризаев Г. 234-19-61,,,,,,,,,,,,,,Юнусобод,Тошкент шаҳри
1031,NEW GENERATION ART ENGINEERING,МЧЖ,304648939,"Тошкент шаҳри, Яшнабод тумани, Каттаянгиобод 3 кўчаси, 9-уй ",Тиллабоев Тохир Ташкентбаевич ,+99899 854-75-76,,,,,,,,,,,,,Яшнабод,Тошкент шаҳри
1032,MIR LOGIN PROJECT,МЧЖ,304354538,"Тошкент шаҳри, Навоий кўчаси, 14-уй",Ашрпов М. ,+99898 125-31-39,,,,,,,,,,,,,,Тошкент шаҳри
1033,BIG STAR PROJECT,МЧЖ,304120654,"Тошкент шаҳри, Лабзак кўчаси, 1-А",Ниязматов Э.Т.,,,,,,,,,,,,,,,Тошкент шаҳри
1034,ALEX ENGINEERING,МЧЖ,203541729,"Тошкент шаҳри, Миробод тумани, Нукус кўчаси, 79-уй. 1-2 ",Пупкова А.В.,,,,,,,,,,,,,,Миробод,Тошкент шаҳри
1035,TURONELEKTROMONTAJ, АЖ,201059290,"Тошкент шаҳри, ТОШДИЭС мавзеси, 4А-уй",Жураев Ш.М. ,260-51-33 260-51-37 260-51-34,,,,,,,,,,,,,,Тошкент шаҳри
1036,ASTIANAKS,МЧЖ,201308788,"Тошкент шаҳри, 4-марказ, 15-50",Прежебқтко В.В. ,233-30-97,,,,,,,,,,,,,,
1037,AZIYA INDUSTRY INVEST,МЧЖ,304793364,"Наманган шаҳри, Н.Номонгоний кўчаси, 18-уй",Ибрагимов Ислоил Хабибуллаевич ,0590 219-67-78 ,,,,,,,,,,,,Наманган,,Наманган шаҳри
1038,NUROBOD PROJECT,МЧЖ,304390004,"Самарқанд вилояти, Нуробод шаҳри, Амир Темур кўчаси, 4-уй",Хайдарова Сабрина Бахромовна ,+99898 309-87-87 0371 277-38-01,,,,,,,,,,,,Самарқанд,,Нуробод шаҳри
1039,KITOB ARX-DIZAYN, ХК,303850594,"Қашқаларё вилояти, Китов тумани, Бектумир ҚФЙ, Алақўйлиқ қишлоғи",Бахриддинов Маъруф Муйсинович ,+99891 450-67-17,,,,,,,,,,,,Қашқадарё,Китоб,Бектумир ҚФЙ
1040,IDEAL UNIVERSAL MONTAJ,МЧЖ,304589252,"Тошкент шаҳар, Яккасарой тумани, Бобур кўчаси, 59/21 ",Батиров А.Б. ,+99898 310-11-65 +99895 146-11-66,,,,,,,,,,,,,Яккасарой,Тошкент шаҳри
1041,MADANIY MEROS LITI,МЧЖ,304578789,"Тошкент шаҳар, Шайхонтохур тумани, Ислом Каримов кўчаси, 16А-уй ",Рахмонов Ж.А.,,,,,,,,,,,,,,Шайхонтохур,Тошкент шаҳри
1042,KENG KO’LAMLI QURILISH,МЧЖ,303427066,"Тошкент шаҳар, Чилонзор тумани, 20А-42-8",Абдураимов Т.,,,,,,,,,,,,,,Чилонзор,Тошкент шаҳри
1043,INVENT DIZAYN SERVIS,МЧЖ,302587154,"Наманган тумани, Тошбулоқ шаҳарчаси, Мустақиллик кўчаси ",Эгамов А.,,,,,,,,,,,,,Наманган,Наманган,Тошбулоқ шаҳарчаси
1044,CREATIVE YOUTH PROJECT,МЧЖ,304734791,"Бухоро шаҳар, Мургкушон кўчаси, 30-уй",Ашуров А. ,+99890 711-98-88,,,,,,,,,,,,Бухоро,,Бухоро шаҳар
1045,SPECIAL PROJECT,МЧЖ,303543406,"Тошкент шаҳри, Навоий кўчаси, 9",+99897 747-41-68,Салимбеков Давронбек Абдуллаевич ,,,,,,,,,,,,,,Тошкент шаҳри
1046,ARCH DESIGN SERVICE,МЧЖ,304742434,"Сурхондарё вилояти, Термиз шаҳри",Минглибоев Ж. ,+99890 249-09-99,,,,,,,,,,,,Сурхондарё,,Термиз шаҳри
1047,MEMORIAL ARCHITECTURAL PROJECT,МЧЖ,304613554,"Тошкент шаҳри, Мирзо Улуғбек тумани, Муса Жалил кўчаси, 78-уй",Усманов Азим Джурабаевич ,+99897 404-88-87,,,,,,,,,,,,,Мирзо Улуғбек,Тошкент шаҳри
1048,KOMFORT LIDER KAPITAL,МЧЖ,304443846,"Жиззах вилояти, Жиззах шаҳри, Ш.Рашидов кўчаси",Содиқов Бехзод Иномжонович ,+99891 209-02-22,,,,,,,,,,,,Жиззах,,Жиззах шаҳри
1049,ARX PROYEKT AZIMUT, ХК,304786696,"200100, Бухоро вилояти, Бухоро шаҳри, Дилкушо кўчаси, 3-уй, 4-хона",Халилов Умид Пулотович ,+99893 620-22-90,,,,,,,,,,,,Бухоро,,Бухоро шаҳри
1050,KASABA-LOYIHA,МЧЖ,304706683,"Тошкент шаҳри, Мўйноқ 4-тор кўчаси, 15-а уй ",Иброхимов Ғайрат Абдумуминович ,0371 298-66-04,,,,,,,,,,,,,,Тошкент шаҳри
